@relation GestureTraining-weka.filters.unsupervised.attribute.Remove-R25-27

@attribute LinearAccelX_RMS numeric
@attribute LinearAccelY_RMS numeric
@attribute LinearAccelZ_RMS numeric
@attribute GyroscopeX_RMS numeric
@attribute GyroscopeY_RMS numeric
@attribute GyroscopeZ_RMS numeric
@attribute LinearAccelX_StDev numeric
@attribute LinearAccelY_StDev numeric
@attribute LinearAccelZ_StDev numeric
@attribute GyroscopeX_StDev numeric
@attribute GyroscopeY_StDev numeric
@attribute GyroscopeZ_StDev numeric
@attribute LinearAccelX_Mean numeric
@attribute LinearAccelY_Mean numeric
@attribute LinearAccelZ_Mean numeric
@attribute GyroscopeX_Mean numeric
@attribute GyroscopeY_Mean numeric
@attribute GyroscopeZ_Mean numeric
@attribute LinearAccelX_AvgEnergy numeric
@attribute LinearAccelY_AvgEnergy numeric
@attribute LinearAccelZ_AvgEnergy numeric
@attribute GyroscopeX_AvgEnergy numeric
@attribute GyroscopeY_AvgEnergy numeric
@attribute GyroscopeZ_AvgEnergy numeric
@attribute GyroscopeX_ZeroCross numeric
@attribute GyroscopeY_ZeroCross numeric
@attribute GyroscopeZ_ZeroCross numeric
@attribute LinearAccelX_ECDF0 numeric
@attribute LinearAccelX_ECDF1 numeric
@attribute LinearAccelX_ECDF2 numeric
@attribute LinearAccelX_ECDF3 numeric
@attribute LinearAccelX_ECDF4 numeric
@attribute LinearAccelX_ECDF5 numeric
@attribute LinearAccelX_ECDF6 numeric
@attribute LinearAccelX_ECDF7 numeric
@attribute LinearAccelX_ECDF8 numeric
@attribute LinearAccelX_ECDF9 numeric
@attribute LinearAccelX_ECDF10 numeric
@attribute LinearAccelX_ECDF11 numeric
@attribute LinearAccelX_ECDF12 numeric
@attribute LinearAccelX_ECDF13 numeric
@attribute LinearAccelX_ECDF14 numeric
@attribute LinearAccelY_ECDF0 numeric
@attribute LinearAccelY_ECDF1 numeric
@attribute LinearAccelY_ECDF2 numeric
@attribute LinearAccelY_ECDF3 numeric
@attribute LinearAccelY_ECDF4 numeric
@attribute LinearAccelY_ECDF5 numeric
@attribute LinearAccelY_ECDF6 numeric
@attribute LinearAccelY_ECDF7 numeric
@attribute LinearAccelY_ECDF8 numeric
@attribute LinearAccelY_ECDF9 numeric
@attribute LinearAccelY_ECDF10 numeric
@attribute LinearAccelY_ECDF11 numeric
@attribute LinearAccelY_ECDF12 numeric
@attribute LinearAccelY_ECDF13 numeric
@attribute LinearAccelY_ECDF14 numeric
@attribute LinearAccelZ_ECDF0 numeric
@attribute LinearAccelZ_ECDF1 numeric
@attribute LinearAccelZ_ECDF2 numeric
@attribute LinearAccelZ_ECDF3 numeric
@attribute LinearAccelZ_ECDF4 numeric
@attribute LinearAccelZ_ECDF5 numeric
@attribute LinearAccelZ_ECDF6 numeric
@attribute LinearAccelZ_ECDF7 numeric
@attribute LinearAccelZ_ECDF8 numeric
@attribute LinearAccelZ_ECDF9 numeric
@attribute LinearAccelZ_ECDF10 numeric
@attribute LinearAccelZ_ECDF11 numeric
@attribute LinearAccelZ_ECDF12 numeric
@attribute LinearAccelZ_ECDF13 numeric
@attribute LinearAccelZ_ECDF14 numeric
@attribute Class {10,11,12,cluster0,cluster1,cluster2,cluster3,cluster4}

@data
1.696096,1.52585,1.221658,1.235743,1.59615,0.69328,1.695168,1.495203,1.057896,1.221817,1.558549,0.583681,0.056098,0.304279,0.610986,0.184998,-0.344413,0.374104,0.429531,0.34763,0.22284,0.33522,0.55927,0.10551,13,4,14,-3.232441,-2.564522,-1.723571,-0.814891,-0.664961,-0.423761,-0.278875,0.046073,0.142779,0.268604,0.471253,0.742202,1.501413,3.522474,4.687341,-2.585388,-1.765981,-1.181628,-0.837676,-0.480274,-0.238756,0.030139,0.194562,0.286024,0.495364,0.820999,1.054915,1.941391,2.928863,4.444654,-0.974359,-0.793277,-0.310753,-0.214413,-0.118842,0.034511,0.201913,0.367773,0.556522,0.7241,1.169101,1.546002,1.748808,2.266256,3.63756,10
1.127275,0.799177,0.839207,1.01698,1.387148,0.521764,1.122146,0.689286,0.681025,1.015878,1.379941,0.360079,-0.107414,0.404437,0.49038,-0.047326,0.141218,0.377599,0.486188,0.24436,0.269452,0.320135,0.595599,0.084267,8,4,8,-2.358614,-1.768463,-1.485743,-1.019171,-0.559375,-0.088557,-0.02527,-0.002229,0.007031,0.021392,0.055881,0.385517,0.913853,1.675593,3.188826,-1.12255,-0.690743,-0.446602,-0.030978,0.306808,0.377496,0.395012,0.410217,0.423035,0.443942,0.472275,0.848457,1.013379,1.475332,2.582369,-0.343414,-0.057802,-0.027791,-0.020165,-0.009221,0.007728,0.019785,0.106432,0.439475,0.53529,0.695392,0.883442,1.305901,1.896231,2.331327,10
1.753406,1.673113,1.322445,1.137064,1.687439,0.747468,1.750691,1.617758,1.193133,1.131843,1.672945,0.618288,-0.097531,0.42681,0.570347,0.108838,-0.220692,0.420034,0.403331,0.367238,0.229431,0.275142,0.60596,0.118898,16,7,9,-5.303148,-2.244169,-1.832319,-1.376427,-1.093431,-0.645372,-0.353526,-0.136191,0.040616,0.26277,0.414079,0.986081,1.857682,2.591888,4.846828,-2.842213,-1.815592,-1.237432,-1.007037,-0.583427,-0.312902,-0.06143,0.271704,0.547457,0.794204,1.343038,1.790343,2.344994,3.028087,4.743263,-1.128887,-0.793194,-0.643593,-0.396087,-0.238902,-0.098599,0.116133,0.282291,0.426136,0.635629,0.868259,1.60238,2.195845,2.958616,3.425165,10
1.071242,1.47163,0.601177,0.177636,0.4205,0.179997,1.051872,1.409895,0.596418,0.161625,0.407092,0.17489,-0.202791,0.42177,-0.075495,-0.073701,0.105342,0.042571,0.312289,0.589358,0.098353,0.131055,0.734384,0.134561,23,9,13,-5.284343,-1.158578,-0.955095,-0.673171,-0.451434,-0.347308,-0.163954,-0.065193,0.02862,0.163737,0.249003,0.374717,0.452153,1.073463,1.984366,-1.500242,-1.229622,-0.994321,-0.813626,-0.532254,-0.387924,-0.105265,0.114723,0.406878,0.641518,0.980346,1.423922,1.947438,3.121437,4.929201,-1.051182,-0.897133,-0.785534,-0.702465,-0.580926,-0.383123,-0.183085,-0.122344,0.013356,0.253122,0.413403,0.483939,0.591368,0.79745,1.544474,10
1.468349,1.77377,1.274816,1.049603,1.813581,0.735401,1.459067,1.695149,1.178195,1.049142,1.812494,0.613069,-0.16484,0.522233,0.486838,0.031076,-0.062785,0.406155,0.311232,0.454172,0.234596,0.223391,0.666945,0.109664,17,9,17,-3.931285,-2.18947,-1.66138,-1.192307,-0.869967,-0.633417,-0.416018,-0.129961,0.003822,0.256395,0.431896,0.671291,1.29069,2.209062,3.357719,-2.607944,-1.770069,-1.183488,-0.775889,-0.613029,-0.383801,-0.212024,0.160175,0.651644,1.033442,1.524139,1.933506,2.634373,3.327727,4.641425,-1.103878,-0.801808,-0.63502,-0.559793,-0.265715,-0.09937,0.026075,0.159239,0.393693,0.568385,0.840055,1.111239,2.066861,2.736985,4.006343,10
1.187359,0.901791,0.66811,0.929904,1.26293,0.489452,1.165982,0.813136,0.622775,0.927359,1.255601,0.40641,-0.224295,0.389919,0.241914,-0.068753,0.135858,0.272754,0.528138,0.304646,0.167216,0.320353,0.590896,0.088751,11,7,7,-3.106951,-2.704589,-1.403498,-0.455935,-0.205899,-0.061227,-0.047585,-0.037209,-0.028586,-0.018102,0.004832,0.036639,0.920571,1.472825,2.239153,-1.966787,-1.098472,-0.38874,0.357815,0.384115,0.399559,0.40996,0.421176,0.433531,0.441484,0.491699,0.724846,1.130793,1.383735,2.622875,-0.654389,-0.167529,-0.130731,-0.120845,-0.116755,-0.111249,-0.101221,-0.090725,-0.084028,-0.015369,0.308584,0.707591,1.113533,1.570731,1.910592,10
0.63113,0.63574,0.513108,0.891801,0.772596,0.448059,0.630889,0.543571,0.483465,0.891793,0.765731,0.367062,0.017466,0.32969,0.171875,0.003766,0.10277,0.256949,0.373744,0.379223,0.247033,0.499262,0.374712,0.126027,6,8,11,-1.585158,-1.179167,-0.651135,-0.269498,-0.065833,-0.041634,-0.030769,-0.008946,0.018317,0.089426,0.182759,0.605604,0.760205,0.954989,1.23463,-0.776716,-0.557529,-0.351596,0.017045,0.232951,0.295099,0.349943,0.378343,0.40107,0.419144,0.448052,0.468412,0.580569,1.210622,2.051448,-0.35911,-0.206803,-0.147193,-0.130448,-0.119947,-0.113098,-0.09664,-0.079087,-0.050671,-0.001467,0.15311,0.497024,0.94298,1.189346,1.387106,10
0.698107,0.580047,0.612893,0.915526,0.877578,0.409442,0.698097,0.477511,0.571428,0.91346,0.858801,0.332434,-0.003755,0.329298,0.221603,0.061472,0.180563,0.23902,0.406316,0.280508,0.313176,0.47196,0.433645,0.094395,9,7,20,-1.66271,-1.286747,-0.889008,-0.204246,-0.051774,-0.029567,-0.004823,0.011212,0.027993,0.049163,0.094601,0.291193,0.6574,0.923901,2.281301,-1.116469,-0.486987,-0.195355,0.044102,0.21348,0.309113,0.350886,0.372217,0.390986,0.412208,0.449889,0.584318,0.799739,1.017249,1.580882,-0.309027,-0.189308,-0.169745,-0.156334,-0.147161,-0.136102,-0.123029,-0.097991,-0.019496,0.102524,0.316269,0.521056,0.946789,1.354308,2.115798,10
0.811159,0.727507,0.766801,0.92746,1.103746,0.553252,0.810929,0.595811,0.676572,0.925397,1.064304,0.471617,-0.019328,0.417464,0.360879,0.061836,0.292427,0.289248,0.370644,0.29814,0.331216,0.360735,0.510901,0.128364,5,5,6,-3.009676,-0.88785,-0.520585,-0.318398,-0.21848,-0.130448,-0.109001,-0.028332,0.039859,0.133279,0.303585,0.500752,0.950271,1.13539,1.48652,-1.148356,-0.55522,-0.284163,0.083252,0.261441,0.313192,0.379311,0.416666,0.492583,0.550724,0.658394,0.774172,0.995151,1.377886,1.906489,-0.396599,-0.195869,-0.153912,-0.12233,-0.102557,-0.076629,-0.064067,-0.034494,0.055756,0.252995,0.53126,1.149908,1.3035,1.630421,2.08174,10
0.506233,0.424371,0.159069,0.370505,0.467612,0.16314,0.505272,0.302559,0.107118,0.364236,0.442401,0.152099,-0.031177,0.297572,-0.117595,-0.067872,-0.151466,0.058994,0.555102,0.39009,0.054808,0.35884,0.571588,0.069571,17,8,22,-1.793634,-0.739579,-0.059,-0.035424,-0.022904,-0.017018,-0.006667,0.004234,0.015002,0.024393,0.033083,0.050643,0.14288,0.599894,1.063195,-1.008959,-0.266114,0.23575,0.306212,0.327576,0.345503,0.35577,0.370694,0.376624,0.38323,0.397183,0.40428,0.412311,0.436326,1.051396,-0.392336,-0.227083,-0.167378,-0.155204,-0.150166,-0.147103,-0.139288,-0.135953,-0.131048,-0.124709,-0.119993,-0.10425,-0.081505,0.061995,0.311175,10
