@relation GestureTraining-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N45-F1-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S4-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S2-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S2-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S2

@attribute Device0_LinearAccelX_RMS numeric
@attribute Device0_LinearAccelY_RMS numeric
@attribute Device0_LinearAccelZ_RMS numeric
@attribute Device0_GyroscopeX_RMS numeric
@attribute Device0_GyroscopeY_RMS numeric
@attribute Device0_GyroscopeZ_RMS numeric
@attribute Device0_LinearAccelX_StDev numeric
@attribute Device0_LinearAccelY_StDev numeric
@attribute Device0_LinearAccelZ_StDev numeric
@attribute Device0_GyroscopeX_StDev numeric
@attribute Device0_GyroscopeY_StDev numeric
@attribute Device0_GyroscopeZ_StDev numeric
@attribute Device0_LinearAccelX_Mean numeric
@attribute Device0_LinearAccelY_Mean numeric
@attribute Device0_LinearAccelZ_Mean numeric
@attribute Device0_GyroscopeX_Mean numeric
@attribute Device0_GyroscopeY_Mean numeric
@attribute Device0_GyroscopeZ_Mean numeric
@attribute Device0_LinearAccelX_AvgEnergy numeric
@attribute Device0_LinearAccelY_AvgEnergy numeric
@attribute Device0_LinearAccelZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_AvgEnergy numeric
@attribute Device0_GyroscopeY_AvgEnergy numeric
@attribute Device0_GyroscopeZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_ZeroCross numeric
@attribute Device0_GyroscopeY_ZeroCross numeric
@attribute Device0_GyroscopeZ_ZeroCross numeric
@attribute Device0_LinearAccelX_ECDF0 numeric
@attribute Device0_LinearAccelX_ECDF1 numeric
@attribute Device0_LinearAccelX_ECDF2 numeric
@attribute Device0_LinearAccelX_ECDF3 numeric
@attribute Device0_LinearAccelX_ECDF4 numeric
@attribute Device0_LinearAccelX_ECDF5 numeric
@attribute Device0_LinearAccelX_ECDF6 numeric
@attribute Device0_LinearAccelX_ECDF7 numeric
@attribute Device0_LinearAccelX_ECDF8 numeric
@attribute Device0_LinearAccelX_ECDF9 numeric
@attribute Device0_LinearAccelX_ECDF10 numeric
@attribute Device0_LinearAccelX_ECDF11 numeric
@attribute Device0_LinearAccelX_ECDF12 numeric
@attribute Device0_LinearAccelX_ECDF13 numeric
@attribute Device0_LinearAccelX_ECDF14 numeric
@attribute Device0_LinearAccelY_ECDF0 numeric
@attribute Device0_LinearAccelY_ECDF1 numeric
@attribute Device0_LinearAccelY_ECDF2 numeric
@attribute Device0_LinearAccelY_ECDF3 numeric
@attribute Device0_LinearAccelY_ECDF4 numeric
@attribute Device0_LinearAccelY_ECDF5 numeric
@attribute Device0_LinearAccelY_ECDF6 numeric
@attribute Device0_LinearAccelY_ECDF7 numeric
@attribute Device0_LinearAccelY_ECDF8 numeric
@attribute Device0_LinearAccelY_ECDF9 numeric
@attribute Device0_LinearAccelY_ECDF10 numeric
@attribute Device0_LinearAccelY_ECDF11 numeric
@attribute Device0_LinearAccelY_ECDF12 numeric
@attribute Device0_LinearAccelY_ECDF13 numeric
@attribute Device0_LinearAccelY_ECDF14 numeric
@attribute Device0_LinearAccelZ_ECDF0 numeric
@attribute Device0_LinearAccelZ_ECDF1 numeric
@attribute Device0_LinearAccelZ_ECDF2 numeric
@attribute Device0_LinearAccelZ_ECDF3 numeric
@attribute Device0_LinearAccelZ_ECDF4 numeric
@attribute Device0_LinearAccelZ_ECDF5 numeric
@attribute Device0_LinearAccelZ_ECDF6 numeric
@attribute Device0_LinearAccelZ_ECDF7 numeric
@attribute Device0_LinearAccelZ_ECDF8 numeric
@attribute Device0_LinearAccelZ_ECDF9 numeric
@attribute Device0_LinearAccelZ_ECDF10 numeric
@attribute Device0_LinearAccelZ_ECDF11 numeric
@attribute Device0_LinearAccelZ_ECDF12 numeric
@attribute Device0_LinearAccelZ_ECDF13 numeric
@attribute Device0_LinearAccelZ_ECDF14 numeric
@attribute Device0_@@class@@ {1_4_2_3_5,10,11,12}

@data
0.269514,0.295856,0.283658,0.285819,0.271882,0.246484,0.27004,0.296111,0.261897,0.280276,0.251765,0.216732,0.506689,0.591749,0.575598,0.457733,0.570345,0.555612,0.305721,0.368908,0.36184,0.379576,0.347782,0.282543,0.202247,0.171171,0.25,0.905687,0.677578,0.631003,0.632141,0.612555,0.584418,0.565523,0.576257,0.551473,0.556985,0.411178,0.41324,0.378332,0.310985,0.098388,0.886876,0.639743,0.599259,0.613481,0.578176,0.554885,0.557685,0.561028,0.557656,0.575629,0.5379,0.553242,0.430375,0.310157,0.135631,0.913066,0.783654,0.703501,0.688874,0.630028,0.637165,0.623211,0.594004,0.57662,0.514066,0.502008,0.425771,0.400783,0.326452,2.442702,1_4_2_3_5
0.51284,0.443059,0.464766,0.363362,0.463303,0.522208,0.511785,0.443994,0.422825,0.365238,0.358829,0.451153,0.45775,0.592275,0.624481,0.481661,0.699018,0.266408,0.396302,0.295386,0.344037,0.213652,0.35345,0.445081,0.101124,0.027027,0.053571,0.853912,0.553471,0.518483,0.503168,0.473426,0.479631,0.470599,0.490094,0.501992,0.530921,0.44732,0.526995,0.496287,0.391857,0.148056,0.79641,0.561665,0.573935,0.61391,0.575987,0.561007,0.560056,0.535987,0.532141,0.548444,0.522411,0.583385,0.479703,0.403554,0.185748,0.923834,0.765753,0.658038,0.646523,0.599171,0.61345,0.619161,0.598574,0.575842,0.550101,0.556754,0.538776,0.549601,0.462234,3.803709,1_4_2_3_5
0.270253,0.093544,0.245566,0.158366,0.332721,0.199175,0.271801,0.097826,0.24833,0.146878,0.317662,0.191825,0.485497,0.557532,0.481125,0.5678,0.427124,0.421192,0.516585,0.063202,0.459588,0.145718,0.640179,0.227466,0.202247,0.072072,0.133929,0.892816,0.663969,0.628924,0.626314,0.598651,0.566081,0.564003,0.566391,0.541572,0.532772,0.391123,0.36501,0.324033,0.258727,0.10444,0.930456,0.727457,0.684775,0.676916,0.63048,0.597191,0.572635,0.531185,0.501391,0.477597,0.41658,0.409254,0.301235,0.202071,0.086086,0.930089,0.772047,0.662189,0.638972,0.561177,0.546205,0.514083,0.489902,0.445081,0.391517,0.362265,0.294792,0.273973,0.287087,3.166435,1_4_2_3_5
0.257651,0.161581,0.247283,0.132663,0.181585,0.106822,0.245463,0.165746,0.23403,0.131695,0.158974,0.097389,0.438125,0.560119,0.559453,0.543492,0.43548,0.500968,0.434547,0.173428,0.430571,0.290161,0.53665,0.18448,0.213483,0.117117,0.071429,0.909352,0.655351,0.593348,0.583085,0.555231,0.512723,0.506344,0.508253,0.493897,0.489381,0.351656,0.353192,0.311897,0.242088,0.080521,0.916252,0.690871,0.650066,0.649576,0.613929,0.591316,0.558825,0.51676,0.494743,0.478403,0.444585,0.445385,0.358685,0.244417,0.09983,0.923303,0.784039,0.695413,0.705665,0.641743,0.646109,0.61606,0.577686,0.534044,0.48326,0.453028,0.385463,0.376293,0.30368,2.599464,1_4_2_3_5
0.538124,0.168665,0.352436,0.092562,0.130687,0.21131,0.366423,0.17185,0.22524,0.094791,0.09239,0.212833,0.740349,0.572671,0.67038,0.530148,0.562517,0.464357,0.665543,0.064446,0.303949,0.127698,0.248688,0.636885,0.235955,0.036036,0.089286,0.953581,0.830888,0.762624,0.747956,0.729632,0.708716,0.707218,0.745197,0.722135,0.742023,0.637605,0.639486,0.63687,0.526144,0.173681,0.904265,0.693245,0.643577,0.65485,0.613384,0.603431,0.577342,0.543359,0.525989,0.51078,0.462597,0.454353,0.345892,0.247519,0.102113,0.944304,0.853631,0.78397,0.768591,0.725506,0.709331,0.701613,0.674074,0.660066,0.601819,0.570456,0.482877,0.453408,0.362144,3.060352,1_4_2_3_5
0.202055,0.240986,0.245553,0.398817,0.135901,0.220334,0.202949,0.244809,0.247915,0.335063,0.134508,0.195169,0.479524,0.565425,0.479421,0.684316,0.477916,0.386412,0.259182,0.369131,0.409835,0.704738,0.084149,0.216322,0.123596,0.126126,0.160714,0.905551,0.739607,0.682064,0.655408,0.632496,0.579467,0.546707,0.544327,0.515025,0.500368,0.353538,0.334779,0.300748,0.237536,0.123209,0.856189,0.647051,0.623631,0.641965,0.610296,0.597325,0.574912,0.549151,0.528427,0.513827,0.452251,0.465966,0.367681,0.269951,0.121945,0.912779,0.787271,0.676043,0.643267,0.570505,0.556936,0.520563,0.479715,0.425223,0.371562,0.333035,0.274996,0.259599,0.324586,3.024587,1_4_2_3_5
0.402714,0.394775,0.368739,0.167949,0.157407,0.234172,0.366134,0.396287,0.351853,0.17133,0.118646,0.235361,0.598997,0.532632,0.426579,0.529026,0.425267,0.474809,0.363032,0.348903,0.323149,0.266128,0.234708,0.510522,0.224719,0.099099,0.133929,0.935029,0.744053,0.67713,0.656408,0.626318,0.579575,0.579014,0.611437,0.595131,0.613234,0.505453,0.486212,0.523792,0.473934,0.146395,0.86806,0.575217,0.511351,0.514292,0.48969,0.490658,0.480386,0.468605,0.475601,0.482754,0.466568,0.550591,0.453293,0.329712,0.177843,0.89937,0.664829,0.530188,0.523366,0.459424,0.475531,0.472544,0.449139,0.42686,0.392706,0.390812,0.343792,0.342683,0.29277,2.570728,1_4_2_3_5
0.493599,0.365685,0.35402,0.299213,0.234048,0.446269,0.492446,0.349053,0.358182,0.276346,0.235413,0.406883,0.457777,0.477079,0.494433,0.609887,0.492334,0.325509,0.492977,0.270733,0.269363,0.262333,0.163238,0.585779,0.202247,0.189189,0.116071,0.806067,0.60493,0.567895,0.57579,0.565213,0.53302,0.533629,0.537529,0.519303,0.512346,0.365429,0.341689,0.35593,0.279221,0.407471,0.885936,0.561324,0.503099,0.506857,0.46101,0.441819,0.426711,0.431057,0.420826,0.426697,0.415691,0.459998,0.376528,0.287101,0.202579,0.864471,0.727395,0.630606,0.602687,0.553732,0.55014,0.524438,0.507388,0.463926,0.418296,0.395402,0.359772,0.395227,0.362407,3.176162,1_4_2_3_5
0.40887,0.425289,0.337795,0.234699,0.259842,0.286618,0.410525,0.427231,0.33578,0.23842,0.211844,0.281833,0.489119,0.535522,0.46154,0.528834,0.39317,0.510241,0.368065,0.398168,0.266969,0.271568,0.335816,0.403988,0.179775,0.081081,0.125,0.859323,0.556768,0.526602,0.583995,0.60787,0.596223,0.581728,0.58486,0.567792,0.570824,0.452294,0.438278,0.406636,0.322932,0.122216,0.879942,0.529831,0.475505,0.482587,0.451024,0.440916,0.511219,0.507598,0.529709,0.582867,0.56209,0.565923,0.481317,0.341976,0.149465,0.891641,0.708916,0.571011,0.536554,0.498145,0.504329,0.509915,0.48263,0.454398,0.415129,0.408668,0.355644,0.349978,0.323065,3.20656,1_4_2_3_5
0.492235,0.219436,0.250268,0.160767,0.685515,0.552536,0.491475,0.174232,0.196718,0.163403,0.565928,0.451943,0.460218,0.656583,0.601091,0.533038,0.232693,0.705137,0.697582,0.139168,0.19345,0.03134,0.598091,0.385466,0.05618,0.027027,0.008929,0.908063,0.652968,0.542801,0.505483,0.473469,0.405972,0.428086,0.451439,0.443095,0.472183,0.368224,0.400853,0.422961,0.538863,0.188523,0.932332,0.743266,0.721302,0.722235,0.682499,0.66205,0.64471,0.609575,0.582661,0.571026,0.520529,0.521749,0.409414,0.312213,0.122229,0.953583,0.837563,0.756212,0.723468,0.664958,0.6596,0.642853,0.618844,0.582483,0.513232,0.483363,0.410892,0.385973,0.330168,2.486948,1_4_2_3_5
