@relation GestureTraining

@attribute Device0_LinearAccelX_RMS numeric
@attribute Device0_LinearAccelY_RMS numeric
@attribute Device0_LinearAccelZ_RMS numeric
@attribute Device0_GyroscopeX_RMS numeric
@attribute Device0_GyroscopeY_RMS numeric
@attribute Device0_GyroscopeZ_RMS numeric
@attribute Device0_LinearAccelX_StDev numeric
@attribute Device0_LinearAccelY_StDev numeric
@attribute Device0_LinearAccelZ_StDev numeric
@attribute Device0_GyroscopeX_StDev numeric
@attribute Device0_GyroscopeY_StDev numeric
@attribute Device0_GyroscopeZ_StDev numeric
@attribute Device0_LinearAccelX_Mean numeric
@attribute Device0_LinearAccelY_Mean numeric
@attribute Device0_LinearAccelZ_Mean numeric
@attribute Device0_GyroscopeX_Mean numeric
@attribute Device0_GyroscopeY_Mean numeric
@attribute Device0_GyroscopeZ_Mean numeric
@attribute Device0_LinearAccelX_AvgEnergy numeric
@attribute Device0_LinearAccelY_AvgEnergy numeric
@attribute Device0_LinearAccelZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_AvgEnergy numeric
@attribute Device0_GyroscopeY_AvgEnergy numeric
@attribute Device0_GyroscopeZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_ZeroCross numeric
@attribute Device0_GyroscopeY_ZeroCross numeric
@attribute Device0_GyroscopeZ_ZeroCross numeric
@attribute Device0_LinearAccelX_ECDF0 numeric
@attribute Device0_LinearAccelX_ECDF1 numeric
@attribute Device0_LinearAccelX_ECDF2 numeric
@attribute Device0_LinearAccelX_ECDF3 numeric
@attribute Device0_LinearAccelX_ECDF4 numeric
@attribute Device0_LinearAccelX_ECDF5 numeric
@attribute Device0_LinearAccelX_ECDF6 numeric
@attribute Device0_LinearAccelX_ECDF7 numeric
@attribute Device0_LinearAccelX_ECDF8 numeric
@attribute Device0_LinearAccelX_ECDF9 numeric
@attribute Device0_LinearAccelX_ECDF10 numeric
@attribute Device0_LinearAccelX_ECDF11 numeric
@attribute Device0_LinearAccelX_ECDF12 numeric
@attribute Device0_LinearAccelX_ECDF13 numeric
@attribute Device0_LinearAccelX_ECDF14 numeric
@attribute Device0_LinearAccelY_ECDF0 numeric
@attribute Device0_LinearAccelY_ECDF1 numeric
@attribute Device0_LinearAccelY_ECDF2 numeric
@attribute Device0_LinearAccelY_ECDF3 numeric
@attribute Device0_LinearAccelY_ECDF4 numeric
@attribute Device0_LinearAccelY_ECDF5 numeric
@attribute Device0_LinearAccelY_ECDF6 numeric
@attribute Device0_LinearAccelY_ECDF7 numeric
@attribute Device0_LinearAccelY_ECDF8 numeric
@attribute Device0_LinearAccelY_ECDF9 numeric
@attribute Device0_LinearAccelY_ECDF10 numeric
@attribute Device0_LinearAccelY_ECDF11 numeric
@attribute Device0_LinearAccelY_ECDF12 numeric
@attribute Device0_LinearAccelY_ECDF13 numeric
@attribute Device0_LinearAccelY_ECDF14 numeric
@attribute Device0_LinearAccelZ_ECDF0 numeric
@attribute Device0_LinearAccelZ_ECDF1 numeric
@attribute Device0_LinearAccelZ_ECDF2 numeric
@attribute Device0_LinearAccelZ_ECDF3 numeric
@attribute Device0_LinearAccelZ_ECDF4 numeric
@attribute Device0_LinearAccelZ_ECDF5 numeric
@attribute Device0_LinearAccelZ_ECDF6 numeric
@attribute Device0_LinearAccelZ_ECDF7 numeric
@attribute Device0_LinearAccelZ_ECDF8 numeric
@attribute Device0_LinearAccelZ_ECDF9 numeric
@attribute Device0_LinearAccelZ_ECDF10 numeric
@attribute Device0_LinearAccelZ_ECDF11 numeric
@attribute Device0_LinearAccelZ_ECDF12 numeric
@attribute Device0_LinearAccelZ_ECDF13 numeric
@attribute Device0_LinearAccelZ_ECDF14 numeric
@attribute Device0_@@class@@ {10,11,12,13}

@data
1.127275,0.799177,0.839207,1.01698,1.387148,0.521764,1.126294,0.691834,0.683543,1.019634,1.385043,0.36141,-0.107414,0.404437,0.49038,-0.047326,0.141218,0.377599,0.486188,0.24436,0.269452,0.320135,0.595599,0.084267,8,4,8,-2.34441,-1.779736,-1.48281,-1.093143,-0.691909,-0.250391,-0.044362,-0.016199,0.003979,0.022681,0.043352,0.073928,0.476961,1.08512,1.686073,-1.139797,-0.733599,-0.488598,-0.055704,0.229402,0.371558,0.394839,0.410105,0.423544,0.437403,0.454571,0.492944,0.916153,1.035445,1.519866,-0.341074,-0.077829,-0.047851,-0.032422,-0.019554,-0.006654,0.00892,0.060934,0.390193,0.470759,0.593694,0.767378,0.970034,1.371738,1.917296,10
1.218673,0.70508,0.932857,1.096667,1.452935,0.617838,1.220617,0.611561,0.742878,1.096265,1.450168,0.42706,0.07345,0.354507,0.567547,0.09516,0.149454,0.447866,0.520649,0.17428,0.305071,0.325451,0.571253,0.103296,8,5,4,-2.310338,-1.849442,-1.437239,-0.993141,-0.527891,-0.091208,-0.032564,-0.001751,0.025672,0.057235,0.126306,0.728834,1.047332,1.61896,2.073354,-1.060105,-0.7666,-0.438282,-0.016119,0.262496,0.34739,0.372028,0.390282,0.407146,0.425262,0.449336,0.596748,0.7903,0.972565,1.179662,-0.356219,-0.11203,-0.073519,-0.05785,-0.044793,-0.031167,-0.012314,0.205193,0.413595,0.580042,0.771836,0,1.451789,1.6511,1.84999,10
1.273958,0.770353,0.778161,1.010076,1.38325,0.457456,1.277518,0.655449,0.648022,1.013042,1.376231,0.334675,-0.0532,0.408614,0.434359,0.038621,0.182187,0.313171,0.575124,0.210296,0.21458,0.324622,0.608794,0.066584,9,8,10,-2.123232,-1.91973,-1.615726,-1.163259,-0.543551,-0.117414,-0.077989,-0.054671,-0.035065,-0.01586,0.005755,0.036719,0.269716,1.358253,2.413711,-1.00109,-0.867529,-0.670404,0.185688,0.361583,0.380087,0.394169,0.407337,0.421633,0.441,0.535932,0.742796,0.896539,1.102323,1.435369,-0.183027,-0.097754,-0.079929,-0.064941,-0.048506,-0.02706,-0.00942,0.011706,0.157899,0.305351,0.436452,0.700074,1.146028,1.541775,1.696613,10
1.247507,0.723934,0.962113,0.961323,1.264391,0.446511,1.224933,0.561826,0.62211,0.964064,1.261279,0.332959,0.256808,0.458874,0.7357,0.031662,0.136414,0.298763,0.51772,0.174344,0.307936,0.339484,0.587277,0.073239,10,10,3,-2.459501,-1.658914,-1.551931,-1.070868,-0.335278,0.258955,0.375314,0.436348,0.493781,0.572435,0.628694,0.666735,1.122739,1.757247,2.14905,-0.718024,-0.475599,-0.272166,0.033281,0.342808,0.40874,0.468093,0.488924,0.50486,0.520156,0.537814,0.567942,0.769329,1.088087,1.299668,0.005249,0.13236,0.276065,0.331143,0.416783,0.465402,0.494332,0.521357,0.555294,0.617592,0.659135,0.712436,0.899125,1.444899,2.019718,10
1.454383,0.716972,1.040227,1.033302,1.573414,0.597223,1.45638,0.622381,0.867888,1.036882,1.572188,0.440036,-0.094968,0.359721,0.578023,0.010354,0.145405,0.40546,0.569935,0.138507,0.291558,0.273771,0.634774,0.091455,12,9,7,-3.006841,-2.323667,-2.003229,-1.476656,-0.682653,-0.216215,-0.13337,-0.056915,-0.025854,-0.000509,0.026336,0.064155,0.682547,1.824428,2.54509,-0.960617,-0.815002,-0.608428,0.026882,0.27503,0.357018,0.385506,0.404967,0.422372,0.440582,0.463736,0.534188,0.84011,1.009317,1.33449,-0.3005,-0.184179,-0.107362,-0.063834,-0.047938,-0.03425,-0.019886,-0.000467,0.21836,0.501242,0.640516,0.983557,1.500892,1.894798,2.034761,10
1.761522,1.935669,1.542209,1.400254,1.982446,0.765899,1.768108,1.900304,1.280946,1.38537,1.953928,0.638516,-0.050893,0.406821,0.866687,0.239419,0.379223,0.426929,0.336248,0.406019,0.257733,0.3027,0.606739,0.090561,11,7,10,-3.452639,-2.263137,-1.642767,-1.216974,-1.070022,-0.885851,-0.681911,-0.575356,-0.448006,-0.138695,0.080121,0.477716,1.548876,2.108102,3.525826,-3.6069,-2.712767,-1.69317,-1.12603,-0.682868,-0.402587,-0.032439,0.192989,0.599183,0.794258,1.100863,1.425815,1.851992,2.672575,0,-1.060503,-0.593624,-0.256601,-0.09771,0.023447,0.255887,0.382318,0.595306,0.672047,0.733391,0.807516,1.125775,1.804769,2.508439,3.108709,10
1.697949,1.747102,1.219138,1.203239,1.55089,0.677562,1.702195,1.693737,1.047353,1.208009,1.549046,0.568041,-0.09251,0.454299,0.630915,0.008986,0.157355,0.3728,0.38846,0.411276,0.200264,0.335747,0.557789,0.106465,12,8,7,-4.139034,-2.830905,-2.221269,-1.210123,-0.740093,-0.601892,-0.323049,-0.189354,-0.081866,0.109453,0.314057,0.500122,0.875136,1.760488,3.086328,-3.017611,-2.306659,-1.201771,-0.885025,-0.476415,-0.256913,-0.058317,0.14644,0.288922,0.680061,1.005919,1.242845,1.733899,2.680184,3.389584,-0.613701,-0.494838,-0.425274,-0.297235,-0.201539,-0.131524,0.044133,0.294926,0.423504,0.594984,0.803919,1.272625,1.795885,2.042876,2.4389,10
2.364792,1.576534,1.652103,1.324052,2.09955,0.653965,2.373456,1.496516,1.379066,1.304555,2.094468,0.552209,-0.025947,0.512336,0.917447,0.252698,0.231962,0.353545,0.517458,0.229983,0.252559,0.266071,0.669021,0.064908,11,5,12,-6.858939,-3.935862,-2.323924,-1.5081,-1.002814,-0.749699,-0.350138,-0.136258,0.021476,0.241582,0.588151,0.776068,1.060559,2.98452,4.358075,-3.138983,-1.784771,-1.227563,-0.817571,-0.359305,-0.059845,0.086059,0.345127,0.506125,0.815683,1.0409,1.375106,1.836102,2.360141,2.853602,-1.244631,-0.458362,-0.231422,-0.153057,-0.076848,0.09478,0.226162,0.346949,0.554383,0.697069,1.07168,1.339126,1.705334,2.969604,3.603911,10
2.263563,1.593058,1.704497,1.256265,1.964624,0.685343,2.264133,1.502619,1.460216,1.261298,1.9721,0.547553,-0.206839,0.547678,0.889915,0.037521,0.07059,0.415373,0.484885,0.240169,0.274945,0.267146,0.653348,0.079506,13,7,19,-4.620534,-3.568247,-3.022505,-1.886163,-1.032199,-0.813856,-0.64053,-0.249497,-0.058114,0.106103,0.385812,0.565304,0.735913,1.390527,4.635215,-2.629523,-1.543033,-1.102227,-0.768315,-0.324148,-0.145918,0.10591,0.277403,0.584934,0.821247,1.008443,1.390872,1.849544,2.465791,3.122302,-0.713317,-0.569403,-0.323248,-0.180781,-0.056398,0.168226,0.232956,0.286509,0.346583,0.48319,0.654586,1.463847,2.14846,2.922827,0,10
2.031857,1.656623,1.337107,1.328955,1.771727,0.724166,2.01856,1.627558,1.184166,1.334038,1.744861,0.558443,-0.291481,0.340111,0.62953,0.007024,-0.343101,0.463614,0.476687,0.31688,0.206433,0.325279,0.578135,0.096585,10,4,11,-3.617817,-2.873924,-2.285372,-1.604567,-1.421429,-1.251306,-0.922824,-0.76288,-0.473706,-0.151448,0.097479,0.383418,0.641869,1.891426,3.595668,-2.285253,-1.686623,-1.33002,-0.96703,-0.628422,-0.495809,-0.315797,-0.042397,0.115221,0.336271,0.482041,0.947245,1.67853,2.409521,3.545656,-1.387063,-0.807566,-0.530437,-0.25986,-0.154274,0.050949,0.151014,0.223594,0.4095,0.583001,0.770787,1.045201,1.504625,2.329025,2.933761,10
